"","Year","Location","Treatment","HarvestNumber","time","N_application.kg.ha","P_application.kg.ha","K_application.kg.ha","DMLeaves.g.DM.m2","DMstems.g.DM.m2","DMRoots.g.DM.m2","Biomass.g.DM.m2","NUP_L.g.m2","NUP_ST.g.m2","NUP_SO.g.m2","NUP.g.m2","PUP_L.g.m2","PUP_ST.g.m2","PUP_SO.g.m2","PUP.g.m2","KUP_L.g.m2","KUP_ST.g.m2","KUP_SO.g.m2","KUP.g.m2","std_DMLeaves.g.DM.m2","std_DMstems.g.DM.m2","std_DMRoots.g.DM.m2","std_Biomass.g.DM.m2","std_NUP_L.g.m2","std_NUP_ST.g.m2","std_NUP_SO.g.m2","std_NUP.g.m2","std_PUP_L.g.m2","std_PUP_ST.g.m2","std_PUP_SO.g.m2","std_PUP.g.m2","std_KUP_L.g.m2","std_KUP_ST.g.m2","std_KUP_SO.g.m2","std_KUP.g.m2"
"36",2016,"CRS","NfPfKfMn",3,602,300,100,300,190.194444466667,1630.11111133333,2866.35416666667,4686.65972246667,8.32303001709524,10.6015913409164,12.3260364668729,31.2506578248845,0.552592722977343,1.11145205709041,1.6332247561,3.29726953616775,2.27250387739802,7.14554765230299,13.4130070388562,22.8310585685573,50.2811770089151,431.33933356255,629.559966406762,1082.12541756135,2.20033632798051,2.80525867954671,2.70726457820711,7.07776879502023,0.146087403319142,0.294098350878653,0.358718030919652,0.747046229453155,0.600775538072677,1.89076421898799,2.94600449553518,5.18166059405471
"37",2016,"CRS","NOTF",1,304,150,40,180,185.250000033333,293.310185133333,635.314236066667,1113.87442123333,9.18343427907244,2.82592493699395,4.86871873595497,16.8780779520214,0.696405338195309,0.475610413899717,0.587979176877738,1.75999492897276,3.75150551450254,3.69082246254221,5.22590954660289,12.6682375236476,63.9967040741162,46.0277113943519,253.826132173441,363.757407536293,3.17252105714517,0.443458372790333,1.94519180467119,5.55876924118325,0.240581086834551,0.0746351813769204,0.234914427841877,0.549892729226919,1.2959999363068,0.579182448221017,2.0878997069464,3.96154693983083
"38",2016,"CRS","NOTF",2,419,150,40,180,21.3125,661.7416667,839.875000066667,1522.92916676667,0.668955487660625,8.16626394678119,6.16981444749349,15.0050338819353,0.03251980045875,0.840973550096362,0.86813523165141,1.74162858220652,0.162183472694375,4.34763591442758,7.50249929828553,12.0123186854075,7.52677512285308,106.723299630091,219.40483228515,262.051473988243,0.236249971745222,1.31702547671952,1.61177211367805,2.35757027278256,0.0114847730248946,0.135629168729078,0.226787396798558,0.287483213617037,0.0572771156651704,0.701170976118013,1.95991617815643,2.20230956143939
"39",2016,"CRS","NOTF",3,602,150,40,180,116.6111111,938.111110966667,1949.39583333333,3004.1180554,4.85863247160427,7.37314445647029,8.24423840022438,20.4760153282989,0.330981207947907,0.674359671140611,1.08623998748104,2.09158086656956,1.21819586025059,4.5850515923218,9.73333166087104,15.5365791134434,11.2436195581547,224.33168217658,330.126824193496,384.607100242798,0.468468352357678,1.76314924694424,1.39614756245083,2.5529150633121,0.0319131405914951,0.161260470801943,0.183952869523642,0.256662788015882,0.117458196485503,1.09642911649567,1.64832293938525,1.95484081838433
"40",2016,"CRS","NOTH",3,602,75,20,90,72.7611111166667,603.55,1342.5,2018.81111111667,2.835536287769,3.5138101410935,3.7021874406,10.0515338694625,0.16198661155009,0.3476152320855,0.66019287465,1.16979471828559,0.594850421648697,2.3657284347665,6.82457568585,9.7851545422652,24.242732784985,228.612023961996,169.565437221151,416.979371108892,0.944751220418985,1.33095724989408,0.467607472655488,2.70790186052133,0.0539711128415476,0.131669326099056,0.0833861403652258,0.26554557661367,0.19819378233439,0.896088088172336,0.861982986979509,1.93108484023877
"41",2016,"Edo","Control",1,282,0,0,0,96.9768518133333,121.119791733333,311.380859366667,529.477502913333,3.47446995220307,1.17837312751188,4.32546068449266,8.9783037642076,0.17279351651234,0.227196414493543,0.385799963067956,0.785789894073839,0.517024002422188,0.456910836785347,3.36369260517482,4.33762744438236,19.9729095291178,49.4855602703364,87.4215334722889,136.129650262335,0.715585964272856,0.481444474003218,1.2143919404088,2.13974274211058,0.0355877635537409,0.0928249768409268,0.108315021204427,0.204792577032617,0.106483902412482,0.186678728788538,0.944371360114695,1.12576074592749
"42",2016,"Edo","Control",2,406,0,0,0,42.8939814766667,361.196759333333,615.105902733333,1019.19664354333,1.70085322561013,3.53169049386155,2.63946761602515,7.87201133549683,0.0749657247809278,0.412322842248795,0.344100692638314,0.831389259668037,0.349621186011677,1.00435451962127,1.51080031016674,2.86477601579969,5.80747091757947,169.783600962518,171.846473348318,338.856641173755,0.230280689802024,1.6601010779821,0.737406679590356,2.31612121127145,0.0101497051915624,0.193815849968619,0.0961338368626314,0.285734811699983,0.0473356587575568,0.472105362459554,0.422082935770908,0.876458484971967
"43",2016,"Edo","Control",3,582,0,0,0,153.805555553333,818.124999966667,1121.10416666667,2093.03472218667,7.3637920779,7.01070621039561,5.04497622776479,19.4194745160604,0.51045214178818,0.755030766362987,0.723575764072917,1.98905867222408,1.73046001795944,1.78910657687711,5.28483728262917,8.80440387746571,129.390594428337,159.519542388621,181.158752174946,457.202075769374,6.19487007981171,1.36696060693529,0.815215593116132,8.14932816271123,0.429423409418316,0.147217310734253,0.116922304296864,0.670758604275523,1.45576828842572,0.348843345991793,0.853974640389851,2.57240837855122
"44",2016,"Edo","N0PfKf",3,582,0,100,300,201.3888889,1259.44444466667,1702.04166666667,3162.87500023333,9.50308355781597,10.5861178112901,5.59923363541833,25.6884350045244,0.77309913420932,1.55661985759688,1.05913566334833,3.38885465515453,2.39011959152076,4.95413348871857,7.29504768481042,14.6393007650497,45.2088005245496,424.330627743622,85.1470771053436,404.797622464883,2.1333004580345,3.5666630912184,0.280109698500799,4.5880814666553,0.173549219795965,0.524454638812663,0.0529847816057029,0.577886624975914,0.536546184017801,1.66914116942255,0.364945230114252,1.71798952229987
"45",2016,"Edo","NfP0Kf",3,582,300,0,300,282.388888866667,1770.97222233333,1939.86458333333,3993.22569453333,15.0749064157665,15.5406239695195,7.98952008474865,38.6050504700346,0.966323470850623,1.20025655337808,0.969019895758542,3.13559991998725,4.31504403193488,9.84649010649416,10.8386818171229,25.000215955552,69.545665152487,369.166745008331,420.429161706251,840.943843878571,3.71259081050808,3.2395096285966,1.73157820423434,8.11954153684264,0.237982481543378,0.250198619378517,0.210016836201209,0.658350700758066,1.06269268797213,2.05254303626621,2.34908042011031,5.24807252876034
