Location,Year,Loc_yr,Treat,MAP,PAR_Above$umol.m-2.s-1,PAR_Below$umol.m-2.s-1,Tau,Beam_Frac_FB,Z_Angle,leaf_angle_distr,kext,LAI,FLI,ln_FLI,FLI_pcent
Edo,2017,Edo_2017,NFP0KF,4,1077.733333,39.63333333,0.035666667,0.395,23.41666667,0.959743498,0.537853372,4.763981287,0.963225288,3.302944834,96.32252876
Edo,2017,Edo_2017,NFPFK0,4,1060.316667,212.2611111,0.166833333,0.355,21.33333333,1.296228151,0.617345905,2.39934496,0.799813473,1.608505712,79.9813473
Edo,2017,Edo_2017,NFPFK1,4,1136.15,38.04444444,0.028555556,0.44,18.83333333,0.996251874,0.53132376,5.227245502,0.966514594,3.396645566,96.65145936
Edo,2017,Edo_2017,NFPFK2,4,1280.382353,23.78823529,0.018705882,0.537647059,20,1.017188302,0.541274214,6.112319026,0.981420991,3.985722883,98.1420991
Edo,2017,Edo_2017,NFPFK3,4,1035.85,34.38333333,0.029055556,0.351666667,20.33333333,1.071347032,0.557670176,4.890094898,0.966806648,3.405405674,96.68066483
Edo,2017,Edo_2017,NFPFK4,4,1305.561111,94.15,0.070833333,0.565555556,17.77777778,0.967242255,0.519209119,4.226221708,0.927885413,2.629498942,92.78854132
Edo,2017,Edo_2017,NFPFKF,4,1122.961111,11.5,0.010277778,0.402777778,16.66666667,0.962430661,0.514394204,6.683347517,0.989759218,4.581377289,98.97592179
Edo,2017,Edo_2017,NFPFKFMN,4,1188.8,11.45555556,0.009666667,0.511111111,22.72222222,0.970654628,0.538020413,7.045110837,0.990363766,4.64222486,99.03637655
Edo,2017,Edo_2017,NOTFR,4,907.45,50.45,0.060388889,0.242222222,22.22222222,1.006007646,0.546063347,3.714315795,0.94440465,2.889655721,94.44046504
Edo,2017,Edo_2017,NOTHR,4,1146.772222,108.3277778,0.088722222,0.438333333,19.11111111,0.953586498,0.519339833,3.592352224,0.905536796,2.359544901,90.55367965
Edo,2017,Edo_2017,CONTROL,8,1239.938889,770.0166667,0.619444444,0.648888889,32.33333333,2.224349158,0.788081637,0.629224906,0.378988212,0.476405215,37.89882118
Edo,2017,Edo_2017,N0PFKF,8,1148.544444,554.9111111,0.485611111,0.550555556,33,1.887973641,0.752159527,0.951246447,0.516857085,0.727442778,51.68570846
Edo,2017,Edo_2017,NFP0KF,8,779.4833333,370.2944444,0.488666667,0.246666667,34.11111111,3.353125,0.870685462,0.867777707,0.524948862,0.744332822,52.49488622
Edo,2017,Edo_2017,NFPFK0,8,1118.955556,519.9055556,0.479,0.525555556,33.66666667,2.488764045,0.815021028,0.932448631,0.535365321,0.766503819,53.5365321
Edo,2017,Edo_2017,NFPFK1,8,771.4277778,330.8388889,0.429222222,0.195,33.72222222,2.783783784,0.837270076,1.027060408,0.571134332,0.846611538,57.11343324
